
--> Mon Jul 17 12:14:33 -05 2017, ReferenceError: register_institution_institution is not defined<br> &nbsp; &nbsp;at place_controller (/home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/app/controllers/auto_place.js:474:48)<br> &nbsp; &nbsp;at finishPost (/home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/app/routes.js:35:50)<br> &nbsp; &nbsp;at postFunction (/home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/app/routes.js:65:7)<br> &nbsp; &nbsp;at Layer.handle [as handle_request] (/home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/node_modules/express/lib/router/layer.js:95:5)<br> &nbsp; &nbsp;at next (/home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/node_modules/express/lib/router/route.js:131:13)<br> &nbsp; &nbsp;at /home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/node_modules/body-parser/lib/read.js:130:5<br> &nbsp; &nbsp;at invokeCallback (/home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/node_modules/raw-body/index.js:262:16)<br> &nbsp; &nbsp;at done (/home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/node_modules/raw-body/index.js:251:7)<br> &nbsp; &nbsp;at IncomingMessage.onEnd (/home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/node_modules/raw-body/index.js:307:7)<br> &nbsp; &nbsp;at emitNone (events.js:86:13)

--> Mon Jul 17 12:15:19 -05 2017, {}

--> Mon Jul 17 12:18:26 -05 2017, {}

--> Mon Jul 17 12:18:44 -05 2017, {}

--> Mon Jul 17 12:20:22 -05 2017, {}

--> Mon Jul 17 12:21:58 -05 2017, 

--> Mon Jul 17 12:22:06 -05 2017, {}

--> Mon Jul 17 12:24:00 -05 2017, {}

--> Mon Jul 17 12:26:49 -05 2017, {}

--> Mon Jul 17 12:31:55 -05 2017, {}

--> Mon Jul 17 12:35:43 -05 2017, {}

--> Mon Jul 17 12:37:46 -05 2017, {}

--> Mon Jul 17 12:40:04 -05 2017, /home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/app/controllers/auto_place.js:412<br> console.log(body)<br> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;^<br>SyntaxError: missing ) after argument list<br> &nbsp; &nbsp;at Object.exports.runInThisContext (vm.js:76:16)<br> &nbsp; &nbsp;at Module._compile (module.js:542:28)<br> &nbsp; &nbsp;at Object.Module._extensions..js (module.js:579:10)<br> &nbsp; &nbsp;at Module.load (module.js:487:32)<br> &nbsp; &nbsp;at tryModuleLoad (module.js:446:12)<br> &nbsp; &nbsp;at Function.Module._load (module.js:438:3)<br> &nbsp; &nbsp;at Module.require (module.js:497:17)<br> &nbsp; &nbsp;at require (internal/module.js:20:19)<br> &nbsp; &nbsp;at finishPost (/home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/app/routes.js:35:22)<br> &nbsp; &nbsp;at postFunction (/home/johnny/proyectos/dmt-sellodeexcelencia/backend-nodejs/app/routes.js:65:7)

